Year,Month,Thrips_imaginis,maxT_degC,Rain_mm,Season
1932,4,4.5,19.2,140.1,-0.5
1932,5,23.4,19.1,53.7,-0.866
1932,6,17.8,14.3,134.1,-1
1932,7,4.4,13.8,89.9,-0.866
1932,8,3.3,14.6,92.2,-0.5
1932,9,34,17.6,49.7,0
1932,10,13.8,17.4,61.6,0.5
1932,11,133.7,23.3,14.2,0.866
1932,12,267.4,24.3,10.4,1
1933,1,37.8,24.8,31.1,0.866
1933,2,9.8,28.4,10.2,0.5
1933,3,2.8,24.4,36.2,0
1933,4,2.4,21.1,53.1,-0.5
1933,5,3.9,17.1,174.2,-0.866
1933,6,5.3,15.9,46,-1
1933,7,5.5,14.1,55.5,-0.866
1933,8,1.7,14,97.8,-0.5
1933,9,2.8,16.3,94.2,0
1933,10,10.1,21.8,17.5,0.5
1933,11,78.3,23.4,6.4,0.866
1933,12,71.3,25.4,10.8,1
1934,1,15.5,29.8,14.5,0.866
1934,2,5.1,28.5,3.4,0.5
1934,3,7.3,29.2,18.3,0
1934,4,6.1,19.8,37.8,-0.5
1934,5,14.4,21,1.6,-0.866
1934,6,26.9,16.2,29.2,-1
1934,7,6.7,15.8,30.2,-0.866
1934,8,3.7,14.9,124.4,-0.5
1934,9,5.9,18.7,102.8,0
1934,10,1.6,19.8,63.2,0.5
1934,11,36,22.5,96.3,0.866
1934,12,76.3,25.6,38.6,1
1935,1,14.5,26.2,22,0.866
1935,2,7.8,26.9,0.9,0.5
1935,3,3.7,25.3,68.1,0
1935,4,2.6,20.1,49,-0.5
1935,5,6.2,16.4,74.1,-0.866
1935,6,16.5,14.3,72.9,-1
1935,7,0.8,14.2,81.9,-0.866
1935,8,1.7,16.4,82.4,-0.5
1935,9,5.5,18.1,72.8,0
1935,10,21.9,20.7,66.6,0.5
1935,11,133.5,23.7,23.5,0.866
1935,12,136.6,26.2,16.2,1
1936,1,15.9,27.2,35.7,0.866
1936,2,5.7,26.6,18.8,0.5
1936,3,6.3,26.1,2.1,0
1936,4,3.3,20.4,39.4,-0.5
1936,5,8.1,19.5,68.8,-0.866
1936,6,12.9,14.2,71.4,-1
1936,7,9.1,13.9,77.8,-0.866
1936,8,1.8,15.6,52.3,-0.5
1936,9,4.3,17.1,28.2,0
1936,10,11.2,19.3,72.1,0.5
1936,11,41.1,23.7,12.9,0.866
1936,12,69,25.4,41.4,1
1937,1,5.9,25.1,71.7,0.866
1937,2,2.9,27.3,14.1,0.5
1937,3,3.7,26.9,25.6,0
1937,4,2,20.4,28.8,-0.5
1937,5,3,17.9,119.3,-0.866
1937,6,4.8,14.5,56.4,-1
1937,7,2.5,13.8,44.3,-0.866
1937,8,1.7,15.8,92.9,-0.5
1937,9,4.6,17.7,91.4,0
1937,10,24.4,21.1,20,0.5
1937,11,310.4,25.4,51.5,0.866
1937,12,127.4,24.3,42.1,1
1938,1,15.6,26.7,19.7,0.866
1938,2,6.2,25.7,56.2,0.5
1938,3,4,25.8,3.8,0
1938,4,3.5,22.3,150.9,-0.5
1938,5,11.6,18.7,32.7,-0.866
1938,6,5.6,13.8,67.6,-1
1938,7,7.9,14.2,78.8,-0.866
1938,8,5.4,14.7,68.5,-0.5
1938,9,50.7,17.8,25.8,0
1938,10,157.8,21.6,25.6,0.5
1938,11,574.6,25.6,17.9,0.866
1938,12,137.6,26.9,12.4,1
